City,Library,Address,Zip,Phone
Orlando,Alafaya Library,12000 East Colonial Drive,,(407) 835-7323
Orlando,Edgewater Library,5049 Edgewater Drive,,(407) 835-7323
Orlando,Herndon Library,4324 East Colonial Drive,,(407) 814-6150
Orlando,Hiawassee Library,2768 North Hiawassee Road,,(407) 521-2459
Orlando,Orlando Public Library,101 East Central Blvd,32801,(407) 835-7323
Orlando,South Creek Library,1702 Deerfield Blvd,,(407) 835-7323
Orlando,South Trail Library,4600 South Orange Blossom Trail,,(407) 858-4749
Orlando,Southeast Library,5575 South Semoran Blvd,,(407) 249-6210
Orlando,Southwest Library,7255 Della Dr,,(407) 355-7400
Orlando,Talking Book Section,101 E Central Blvd,,(407) 835-7464
Orlando,Washington Park Library,5151 Raleigh St,,(407) 293-8562
Orlando,West Oaks Library,1621 E. Silverstar Road,,(407) 521-3330
Ormond Beach,Ormond Beach Public Library,30 South Beach Street,,(386) 676-4191
Oviedo,East Branch Library,310 Division Street,,(407) 366-8150
Pace,Pace Library,4750 Pace Patriot Blvd,,
Pahokee,Loula V. York Branch Library,525 Bacom Point Road,,(561) 924-5928
Paisley,Paisley Library,24954 Cr 42,,(352) 669-1001
Palatka,Bostwick Community Library,125 Tillman St,,(904) 329-0126
Palatka,Putnam County Library System,601 College Rd,32177,(386) 329-0126
Palm Bay,Franklin T. Degroodt Memorial Library,6475 Minton Rd. Sw,,(321) 952-6317
Palm Bay,Palm Bay Public Library,1520 Port Malablar Blvd. Ne,,(321) 952-4519
Palm Beach Garden,North County Regional Library,11303 Campus Dr,,(561) 626-6133
Palm City,Peter Julie Cummings Library,2551 S.W. Matheson,,(772) 288-2551
Palm Coast,Flagler County Public Library,2500 Palm Coast Parkway Nw,32137,(386) 446-6764
Palm Harbor,East Lake Community Library,4125 East Lake Road,,(727) 773-2665
Palm Harbor,Palm Harbor Library,2330 Nebraska Ave,,(727) 784-3332
Palm Springs,Palm Springs Public Library,217 Cypress Lane,33461,(561) 965-2204
Palmetto,Palmetto Branch Library,923 6th Street West,,(941) 722-3333
Panama City,Bay County Public Library,25 West Government Street,,(850) 872-7500
Panama City,Northwest Regional Library System,898 West 11th Street,32412,(850) 522-2100
Panama City Beach,Panama City Beach Library,116 South Arnold Road,,(850) 235-0232
Parker,Parker Public Library,4710 Second Street,,(850) 785-3457
Parkland,Parkland Library,6620 University Drive,33067,(954) 757-4200
Pembroke Pines,Pembroke Pines Branch,955 Nw 129 Avenue,,(954) 437-2635
Pembroke Pines,South Regional-Bc Library,7300 Pines Boulevard,,(954) 963-8825
Pembroke Pines,Southwest Regional Library,16835 Sheridan Street,,(954) 538-9996
Pensacola,Lucia M. Tryon Branch,5740 North Ninth Ave,,(850) 494-7373
Pensacola,Southwest Branch Library,12385 Sorrento Road A-2,,(850) 453-7780
Pensacola,Subregional Talking Book Library,200 W Gregory St,,(850) 435-1760
Pensacola,West Florida Public Library,200 West Gregory Street,32502,(850) 436-5060
Perry,Taylor County Public Library,403 North Washington Street,32347,(850) 838-3512
Pierson,Pierson Public Library,115 North Volusia Avenue,,(386) 749-6930
Pinellas Park,Pinellas Park Public Library,7770 52nd Street North,,(727) 541-0718
Plant City,Bruton Memorial Library,302 Mclendon Street,,(813) 757-9215
Plantation,West Regional Library,8601 West Broward Blvd,,(954) 831-3300
Poinciana,Poinciana Library,33 Doverplum Road,,(407) 935-1177
Polk City,Polk City Library,215 S. Bougainvillea Street,,(863) 984-4340
Pompano Beach,Beach Branch Library,221 Pompano Beach Blvd,,(954) 786-2197
Pompano Beach,Collier City Branch,2800 Nw 9th Court,,(954) 968-3820
Pompano Beach,Northwest Branch Library,1580 Nw Third Ave,,(954) 786-2186
Pompano Beach,Pompano Beach Public Library,1213 E Atlantic Blvd,,(954) 786-2181
Ponte Vedra Beach,Ponte Vedra Beach Branch Library,101 Library Blvd,,(904) 827-6950
Port Charlotte,Charlotte-Glades Library System,2050 Forrest Nelson Blvd,33952,(941) 613-3200
Port Charlotte,Murdock Public Library,18400 Murdock Circle,,(941) 743-1462
Port Charlotte,Port Charlotte Public Library,2280 Aaron Street,,(941) 625-6470
Port Orange,Port Orange Library,1000 City Center Circle,,(386) 322-5152
Port Saint Lucie,Saint Lucie West Library,520 Nw California Blvd,,(561) 462-4693
Port St. Joe,Port St. Joe Branch,110 Library Drive,,(850) 229-8879
Port St. John,Port St. John Public Library,6500 Carole Ave,32927,(321) 633-1867
Port St. Lucie,Morningside Branch Library,2410 Morningside Blvd,,(772) 337-5632
Port St. Lucie,Port St. Lucie Branch Library,180 Sw Prima Vista Blvd,,(772) 871-5450
Punta Gorda,Punta Gorda Public Library,424 West Henry Street,,(941) 639-2049
Quincy,Gadsden County Public Library,732 S. Pat Thomas Parkway,32351,(850) 627-7106
Reddick,Reddick Public Library,15150 N.W. Gainesville Road,,(352) 438-2566
Riverview,Riverview Branch Library,10509 Riverview Drive,,(813) 671-7690
Riviera Beach,Riviera Beach Public Library,600 W. Blue Heron Blvd,33404,(561) 845-4195
Royal Palm Beach,Royal Palm Beach Branch Library,500 Civic Center Way,,(561) 790-6030
Ruskin,Ruskin Branch Library,,,(813) 671-7638
Safety Harbor,Safety Harbor Public Library,101 Second St North,,(727) 724-1525
Sanford,North Branch Library,150 N. Palmetto Ave,,(407) 322-2182
Sanibel,Sanibel Public Library,770 Dunlop Road,33957,(239) 472-2483
Santa Rosa Beach,Coastal Branch Library,336 Greenway Trail,,(850) 267-2809
Sarasota,Fruitville Public Library,100 Coburn Road,,(941) 861-2500
Sarasota,Gulf Gate Library,7112 Curtiss Ave,,(941) 316-1213
Sarasota,North Sarasota Library,2801 Newtown Blvd,,(941) 861-9830
Sarasota,Sarasota County Public Libraries,1660 Ringling Blvd,34236,(941) 861-5450
Sarasota,Selby Public Library,1331 First Street,,(941) 861-1100
Satellite Beach,Satellite Beach Public Library,751 Jamaica Boulevard,,(407) 779-4004
Sebastian,North Indian River County Library,1001 County Road 512,,(561) 589-1355
Sebring,Heartland Library Cooperative,319 W. Center Ave,33870,(863) 402-6719
Sebring,Sebring Public Library,319 West Center Avenue,,(863) 402-6716
Seffner,Seffner-Mango Branch Library,11724 East Ml King Jr. Blvd,,(813) 276-2606
Sorrento,East Lake County Library,31336 County Road 437 South,,(352) 383-9980
South Bay,Clarence E. Anthony Branch Library,375 Sw 2nd Ave,,(561) 992-8393
South Miami,South Miami Branch,6000 Sunset Dr,,(305) 667-6121
Spring Hill,Little Red Schoolhouse Branch,1208 Kenlake Avenue,,(352) 688-5037
Springfield,Springfield Branch,408 School Avenue,,(850) 785-1181
St. Augustine,Southeast Branch Library,6670 Us 1 South,32086,(904) 827-6900
St. Augustine,St. Johns County Public Library,1960 N. Ponce De Leon Blvd,32084,(904) 827-6940
St. Augustine,St. Johns County Public Library Administration,6670 Us 1 South,32086,(904) 827-6925
St. Augustine Beach,Anastasia Island Branch Library,124 Seagrove Main St,32080,(904) 209-3730
St. Cloud,Narcoossee Library,2700 N Narcoossee Road,,(407) 892-2108
St. Cloud,Veterans Memorial Library,810 13th Street,,(407) 892-6910
St. Pete Beach,St. Pete Beach Public Library,365 73rd Ave,,(727) 363-9238
St. Petersburg,James Weldon Johnson Branch Library,1059 18th Ave South,,(727) 893-7113
St. Petersburg,Mirror Lake Branch,280 5th Street N,,(727) 893-7268
St. Petersburg,North Branch Library,861 70th Ave North,,(727) 893-7214
St. Petersburg,South Branch Library,2300 Roy Hanna Dr. South,,(727) 893-7244
St. Petersburg,St. Petersburg Public Library,3745 Ninth Ave. No,,(727) 893-7724
Starke,Bradford County Public Library,105 E. Jackson St,,(904) 964-6400
Stuart,Blake Library,2351 Se Monterey Road,,(772) 288-5702
Stuart,Law Library Branch,100 E Ocean Blvd,,(772) 221-1427
Stuart,Martin County Library System,2351 Se Monterey Road,34996,(772) 219-4908
Stuart,Robert Morgade Branch,5851 Se Community Drive,,(772) 463-3245
Sumterville,"Clark Maxwell, Jr. Library",1405 Cr 526-A,,(352) 568-3456
Sunrise,Sunrise Dan Pearl Branch,10500 W. Oakland Park Blvd,,(954) 749-2521
Sunrise,Sunset Strip Branch,6600 Sunset Strip,,(954) 749-2525
Tallahassee,"Dr. B. L. Perry, Jr. Branch Library",2804 South Adams Street,,(850) 606-2950
Tallahassee,Fort Braden Branch Library,16327 Blountstown Highway,,(850) 606-2900
Tallahassee,Lake Jackson Branch Library,3840-302 North Monroe St,,(850) 606-2850
Tallahassee,Leroy Collins Leon County Public Library Syst,200 West Park Avenue,32301,(850) 606-2665
Tallahassee,Northeast Branch Library - Bruce J. Host Center,5513 Thomasville Road,,(850) 606-2800
Tallahassee,Parkway Branch Library,1210 Capital Circle Se,,(850) 606-2750
Tamarac,Tamarac Branch,8701 W. Commercial Blvd,,(954) 720-2282
Tamarac,Tamarac Popular Branch,8601 West Mcnab Road,,(954) 720-2273
Tampa,78th Street Community Library,7625 Palm River Road,,(813) 612-9123
Tampa,Charles J. Fendig Library,3909 Neptune Street,,(813) 273-3680
Tampa,College Hill Branch Library,2607 East Martin L. King Dr,,(813) 273-3681
Tampa,Egypt Lake Partnership Library,3403 West Lambright Street,,(813) 554-5106
Tampa,Hillsborough County Public Library Cooperative,900 North Ashley Drive,33602,(813) 273-3660
Tampa,Jan K. Platt Regional Library,3910 S. Manhattan Avenue,,(813) 272-6000
Tampa,Jimmie B. Keel Regional Library,2902 W. Bearss Avenue,,(813) 264-3831
Tampa,John F. Germany Public Library,900 North Ashley Drive,,(813) 273-3652
Tampa,New Tampa Regional Library,10001 Cross Creek Blvd,,(813) 903-2284
Tampa,North Tampa Branch Library,8916 North Blvd,,(813) 975-2111
Tampa,Port Tampa Branch Library,8611 Interbay Blvd,,(813) 301-7001
Tampa,"Robert W. Saunders, Sr. Branch Library",1505 N. Nebraska Ave,,(813) 307-3211
Tampa,Science Library At Mosi-Museum Of Science And,4801 E Fowler Avenue,,(813) 958-7678
Tampa,Seminole Heights Branch Library,4711 Central Ave,,(813) 273-3669
Tampa,West Gate Branch Library,7609 Paula Dr,,(813) 554-5031
Tampa,West Tampa Branch Library,2312 W. Union St,,(813) 273-3674
Tampa,Ybor City Branch,1505 Nebraska,,(813) 272-5547
Tarpon Springs,Tarpon Springs Library,138 E Lemon Street,,(727) 943-4922
Tavares,Lake County Library System,2401 Woodlea Rd,32778,(352) 253-6180
Tavares,Tavares Public Library,314 North New Hampshire Ave,,(352) 742-6204
Temple Terrace,Temple Terrace Public Library,202 Bullard Pkwy,,(813) 989-7160
Tequesta,Tequesta Branch Library,461 Old Dixie Hwy. North,,(561) 746-5970
The Villages,The Villages Public Library,3010 Saddlebrook Lane,,(352) 259-5739
Thonotosassa,Thonotosassa Branch Library,10715 Main St,,(813) 987-6215
Titusville,North Brevard Public Library,2121 South Hopkins Avenue,,(407) 264-5026
Trenton,Gilchrist County Library,105 N.E. 11th Street,,(352) 463-2210
Umatilla,Umatilla Public Library,412 Hatfield Drive,,(352) 669-2911
Valparaiso,Valparaiso Community Library,459 Valparaiso Pkwy,,(850) 729-5406
Venice,Jacaranda Public Library,4143 Woodmere Park Blvd,,(941) 861-1260
Venice,Venice Area Public Library,300 South Nokomis Ave,,(941) 861-1330
Vernon,Vernon Branch Library,3731 Roche Avenue,,(850) 535-1208
Vero Beach,Indian River County Library,1600 21st Street,32960,(772) 770-5060
Vero Beach,Indian River Law Library,2000 16th Street Suite 119,,(772) 770-5157
Waldo,Waldo Branch Library,150 Sw 2nd Pl,,(352) 468-3298
Wauchula,Hardee County Public Library,315 North Sixth Avenue,,(941) 773-6438
Wausau,Wausau Branch Library,,,(850) 535-1208
Webster,E.C. Rowell Public Library,85 E Central Avenue,,(352) 568-1600
Welaka,Welaka Womans Club Library,644 Cr 309,,(904) 467-9706
Wellington,Wellington Branch Library,1951 Royal Fern Drive,,(561) 790-6070
West Palm Beach,Mandel Public Library Of West Palm Beach,411 Clematis Street,33401,(561) 868-7700
West Palm Beach,Okeechobee Boulevard Branch,5689 West Okeechobee Blvd,,(561) 233-1880
West Palm Beach,Palm Beach County Library System,3650 Summit Boulevard,33406,(561) 233-2600
Weston,Weston Reading Center,2505 Arvida Parkway,,(954) 389-2046
Wewahitchka,Wewa Branch Library,314 North Second St,,(850) 639-2419
White Springs,White Springs Public Library,12797 Roberts St,,(904) 397-1389
Wildwood,Wildwood Public Library,702 Webster Street,,(352) 748-1158
Williston,Williston Public Library,10 S.E. First Street,,(352) 528-2313
Wilton Manors,Richard C. Sullivan Public Library Of Wilton Manors,500 Northeast 26 Street,33305,(954) 390-2195
Wilton Manors,Wilton Manors Public Library,500 N.E. 26th Street,,(954) 390-2195
Windermere,Windermere Library,530 Main Street,,(407) 876-7540
Winter Garden,West Orange Library,,,(407) 656-4582
Winter Haven,Winter Haven Public Library - Kathryn L. Smith Memorial,"325 Avenue A, Nw",,(863) 291-5880
Winter Park,Winter Park Public Library,460 E. New England Avenue,32789,(407) 623-3300
Yankeetown,A.F. Knotts Public Library,11 56th Street,,(352) 447-4212
Yulee,Yulee Branch,76346 William Burgess Blvd,,(904) 548-4467
Zephyrhills,Zephyrhills Library,5347 8th Street,,(813) 782-1451
,St. Johns County Public Library Technical Services,,,
