last_name,first_name,middle_name,suffix,full_name,birthday,gender,type,state,party
Buck,Ken,,,Ken Buck,1959-02-16,M,rep,CO,Republican
Carter,Buddy,,,"Earl L. ""Buddy"" Carter",1957-09-06,M,rep,GA,Republican
Hice,Jody,,,Jody B. Hice,1960-04-22,M,rep,GA,Republican
Loudermilk,Barry,,,Barry Loudermilk,1963-12-22,M,rep,GA,Republican
Allen,Rick,,,Rick W. Allen,1951-11-07,M,rep,GA,Republican
Bost,Mike,,,Mike Bost,1960-12-30,M,rep,IL,Republican
Abraham,Ralph,,,Ralph Lee Abraham,1954-09-16,M,rep,LA,Republican
Graves,Garret,,,Garret Graves,1972-01-31,M,rep,LA,Republican
Moulton,Seth,,,Seth Moulton,1978-10-24,M,rep,MA,Democrat
Moolenaar,John,,,John R. Moolenaar,1961-05-08,M,rep,MI,Republican
Dingell,Debbie,,,Debbie Dingell,1953-11-23,F,rep,MI,Democrat
Lawrence,Brenda,,,Brenda L. Lawrence,1954-10-18,F,rep,MI,Democrat
Emmer,Tom,,,Tom Emmer,1961-03-03,M,rep,MN,Republican
Rouzer,David,,,David Rouzer,1972-02-16,M,rep,NC,Republican
Watson Coleman,Bonnie,,,Bonnie Watson Coleman,1945-02-06,F,rep,NJ,Democrat
Zeldin,Lee,,,Lee M. Zeldin,1980-01-30,M,rep,NY,Republican
Rice,Kathleen,,,Kathleen M. Rice,1965-02-15,F,rep,NY,Democrat
Stefanik,Elise,,,Elise M. Stefanik,1984-07-02,F,rep,NY,Republican
Katko,John,,,John Katko,1962-11-09,M,rep,NY,Republican
Boyle,Brendan,,,Brendan F. Boyle,1977-02-06,M,rep,PA,Democrat
Ratcliffe,John,,,John Ratcliffe,1965-10-20,M,rep,TX,Republican
Hurd,Will,,,Will Hurd,1977-08-19,M,rep,TX,Republican
Babin,Brian,,,Brian Babin,1948-03-23,M,rep,TX,Republican
Beyer,Donald,,,"Donald S. Beyer, Jr.",1950-06-20,M,rep,VA,Democrat
Plaskett,Stacey,,,Stacey E. Plaskett,1966-05-13,F,rep,VI,Democrat
Newhouse,Dan,,,Dan Newhouse,1955-07-10,M,rep,WA,Republican
Grothman,Glenn,,,Glenn Grothman,1955-07-03,M,rep,WI,Republican
Mooney,Alex,,,Alexander X. Mooney,1971-06-05,M,rep,WV,Republican
Amata,Aumua,,,Aumua Amata Coleman Radewagen,1947-12-29,F,rep,AS,Republican
Sullivan,Dan,,,Dan Sullivan,1964-11-13,M,sen,AK,Republican
Perdue,David,,,David Perdue,1949-12-10,M,sen,GA,Republican
Ernst,Joni,,,Joni Ernst,1970-07-01,F,sen,IA,Republican
Tillis,Thom,,,Thom Tillis,1960-08-30,M,sen,NC,Republican
Rounds,Mike,,,Mike Rounds,1954-10-24,M,sen,SD,Republican
Walker,Mark,,,Mark Walker,1969-05-20,M,rep,NC,Republican
Sasse,Benjamin,Eric,,Ben Sasse,1972-02-22,M,sen,NE,Republican
Kelly,Trent,,,Trent Kelly,1966-03-01,M,rep,MS,Republican
LaHood,Darin,,,Darin LaHood,1968-07-05,M,rep,IL,Republican
Davidson,Warren,,,Warren Davidson,1970-03-01,M,rep,OH,Republican
Comer,James,,,James Comer,1972-08-19,M,rep,KY,Republican
Evans,Dwight,,,Dwight Evans,1954-05-16,M,rep,PA,Democrat
Harris,Kamala,,,Kamala D. Harris,1964-10-20,F,sen,CA,Democrat
Kennedy,John,Neely,,John Kennedy,1951-11-21,M,sen,LA,Republican
Hassan,Margaret,Wood,,Margaret Wood Hassan,1958-02-27,F,sen,NH,Democrat
Cortez Masto,Catherine,,,Catherine Cortez Masto,1964-03-29,F,sen,NV,Democrat
Schneider,Bradley,S.,,Bradley Scott Schneider,1961-08-20,M,rep,IL,Democrat
O’Halleran,Tom,,,Tom O’Halleran,1946-01-24,M,rep,AZ,Democrat
Biggs,Andy,,,Andy Biggs,1958-11-07,M,rep,AZ,Republican
Khanna,Ro,,,Ro Khanna,1976-09-13,M,rep,CA,Democrat
Panetta,Jimmy,,,Jimmy Panetta,1969-10-01,M,rep,CA,Democrat
Carbajal,Salud,,,Salud O. Carbajal,1964-11-18,M,rep,CA,Democrat
Barragán,Nanette,,,Nanette Diaz Barragán,1976-09-15,F,rep,CA,Democrat
Correa,J.,Luis,,J. Luis Correa,1958-01-24,M,rep,CA,Democrat
Blunt Rochester,Lisa,,,Lisa Blunt Rochester,1962-02-10,F,rep,DE,Democrat
Gaetz,Matt,,,Matt Gaetz,1982-05-07,M,rep,FL,Republican
Dunn,Neal,,,Neal P. Dunn,1953-02-16,M,rep,FL,Republican
Rutherford,John,,,John H. Rutherford,1952-09-02,M,rep,FL,Republican
Lawson,Al,,,"Al Lawson, Jr.",1948-09-23,M,rep,FL,Democrat
Murphy,Stephanie,,,Stephanie N. Murphy,1978-09-16,F,rep,FL,Democrat
Soto,Darren,,,Darren Soto,1978-02-25,M,rep,FL,Democrat
Demings,Val,,,Val Butler Demings,1957-03-12,F,rep,FL,Democrat
Crist,Charlie,,,Charlie Crist,1956-07-24,M,rep,FL,Democrat
Mast,Brian,,,Brian J. Mast,1980-07-10,M,rep,FL,Republican
Rooney,Francis,,,Francis Rooney,1953-12-04,M,rep,FL,Republican
Ferguson,A.,Drew,IV,A. Drew Ferguson IV,1966-11-15,M,rep,GA,Republican
Krishnamoorthi,Raja,,,Raja Krishnamoorthi,1973-07-19,M,rep,IL,Democrat
Banks,Jim,,,Jim Banks,1979-07-16,M,rep,IN,Republican
Hollingsworth,Trey,,,Trey Hollingsworth,1983-09-12,M,rep,IN,Republican
Marshall,Roger,,,Roger W. Marshall,1960-08-09,M,rep,KS,Republican
Higgins,Clay,,,Clay Higgins,1961-08-24,M,rep,LA,Republican
Johnson,Mike,,,Mike Johnson,1972-01-30,M,rep,LA,Republican
Brown,Anthony,,,Anthony G. Brown,1961-11-21,M,rep,MD,Democrat
Raskin,Jamie,,,Jamie Raskin,1962-12-13,M,rep,MD,Democrat
Bergman,Jack,,,Jack Bergman,1947-02-02,M,rep,MI,Republican
Mitchell,Paul,,,Paul Mitchell,1961-05-08,M,rep,MI,Republican
Budd,Ted,,,Ted Budd,1971-10-21,M,rep,NC,Republican
Bacon,Don,,,Don Bacon,1963-08-16,M,rep,NE,Republican
Gottheimer,Josh,,,Josh Gottheimer,1975-03-08,M,rep,NJ,Democrat
Rosen,Jacky,,,Jacky Rosen,1957-08-02,F,sen,NV,Democrat
Suozzi,Thomas,,,Thomas R. Suozzi,1962-08-31,M,rep,NY,Democrat
Espaillat,Adriano,,,Adriano Espaillat,1954-09-27,M,rep,NY,Democrat
Fitzpatrick,Brian,,,Brian K. Fitzpatrick,1973-12-17,M,rep,PA,Republican
Smucker,Lloyd,,,Lloyd Smucker,1964-01-23,M,rep,PA,Republican
González-Colón,Jenniffer,,,Jenniffer González-Colón,1976-08-05,F,rep,PR,Republican
Kustoff,David,,,David Kustoff,1966-10-08,M,rep,TN,Republican
Gonzalez,Vicente,,,Vicente Gonzalez,1967-09-04,M,rep,TX,Democrat
Arrington,Jodey,,,Jodey C. Arrington,1972-03-09,M,rep,TX,Republican
McEachin,A.,Donald,,A. Donald McEachin,1961-10-10,M,rep,VA,Democrat
Jayapal,Pramila,,,Pramila Jayapal,1965-09-21,F,rep,WA,Democrat
Gallagher,Mike,,,Mike Gallagher,1984-03-03,M,rep,WI,Republican
Cheney,Liz,,,Liz Cheney,1966-07-28,F,rep,WY,Republican
Estes,Ron,,,Ron Estes,1956-07-19,M,rep,KS,Republican
Gianforte,Greg,,,Greg Gianforte,1961-04-17,M,rep,MT,Republican
Norman,Ralph,,Jr.,Ralph Norman,1953-06-20,M,rep,SC,Republican
Gomez,Jimmy,,,Jimmy Gomez,1974-11-25,M,rep,CA,Democrat
Curtis,John,,,John R. Curtis,1960-05-10,M,rep,UT,Republican
Jones,Doug,,,Doug Jones,1954-05-04,M,sen,AL,Democrat
Smith,Tina,Flint,,Tina Smith,1958-03-04,F,sen,MN,Democrat
Hyde-Smith,Cindy,,,Cindy Hyde-Smith,1959-05-10,F,sen,MS,Republican
Lamb,Conor,,,Conor Lamb,1984-06-27,M,rep,PA,Democrat
Lesko,Debbie,,,Debbie Lesko,1958-11-14,F,rep,AZ,Republican
Cloud,Michael,,,Michael Cloud,1975-05-13,M,rep,TX,Republican
Balderson,Troy,,,Troy Balderson,1962-01-16,M,rep,OH,Republican
Hern,Kevin,R.,,Kevin Hern,1961-12-04,M,rep,OK,Republican
Morelle,Joseph,D.,,Joseph D. Morelle,1957-04-29,M,rep,NY,Democrat
Scanlon,Mary,Gay,,Mary Gay Scanlon,1959-08-30,F,rep,PA,Democrat
Wild,Susan,Ellis,,Susan Wild,1957-06-07,F,rep,PA,Democrat
Case,Ed,,,Ed Case,1952-09-27,M,rep,HI,Democrat
Horsford,Steven,A.,,Steven Horsford,1973-04-29,M,rep,NV,Democrat
Kirkpatrick,Ann,,,Ann Kirkpatrick,1950-03-24,F,rep,AZ,Democrat
Stanton,Greg,,,Greg Stanton,1970-03-08,M,rep,AZ,Democrat
Harder,Josh,,,Josh Harder,1986-08-01,M,rep,CA,Democrat
Cox,TJ,,,TJ Cox,1963-07-18,M,rep,CA,Democrat
Hill,Katie,,,Katie Hill,1987-08-25,F,rep,CA,Democrat
Cisneros,Gilbert,Ray,,"Gilbert Ray Cisneros, Jr.",1971-02-12,M,rep,CA,Democrat
Porter,Katie,,,Katie Porter,1974-01-03,F,rep,CA,Democrat
Rouda,Harley,,,Harley Rouda,1961-12-10,M,rep,CA,Democrat
Levin,Mike,,,Mike Levin,1978-10-28,M,rep,CA,Democrat
Neguse,Joe,,,Joe Neguse,1984-05-13,M,rep,CO,Democrat
Crow,Jason,,,Jason Crow,1979-03-15,M,rep,CO,Democrat
Hayes,Jahana,,,Jahana Hayes,1973-03-08,F,rep,CT,Democrat
Waltz,Michael,,,Michael Waltz,1974-01-31,M,rep,FL,Republican
Spano,Ross,,,Ross Spano,1966-07-16,M,rep,FL,Republican
Steube,W.,Gregory,,W. Gregory Steube,1978-05-19,M,rep,FL,Republican
Mucarsel-Powell,Debbie,,,Debbie Mucarsel-Powell,1971-01-18,F,rep,FL,Democrat
Shalala,Donna,E.,,Donna E. Shalala,1941-02-14,F,rep,FL,Democrat
McBath,Lucy,,,Lucy McBath,1960-06-01,F,rep,GA,Democrat
San Nicolas,Michael,F. Q.,,Michael F. Q. San Nicolas,1981-01-30,M,rep,GU,Democrat
Finkenauer,Abby,,,Abby Finkenauer,1988-12-27,F,rep,IA,Democrat
Axne,Cynthia,,,Cynthia Axne,1965-04-20,F,rep,IA,Democrat
Fulcher,Russ,,,Russ Fulcher,1973-07-19,M,rep,ID,Republican
García,Jesús,G.,,"Jesús G. ""Chuy"" García",1956-04-12,M,rep,IL,Democrat
Casten,Sean,,,Sean Casten,1971-11-23,M,rep,IL,Democrat
Underwood,Lauren,,,Lauren Underwood,1986-10-04,F,rep,IL,Democrat
Baird,James,R.,,James R. Baird,1945-06-04,M,rep,IN,Republican
Pence,Greg,,,Greg Pence,1956-11-14,M,rep,IN,Republican
Watkins,Steven,C.,,Steve Watkins,1976-09-18,M,rep,KS,Republican
Davids,Sharice,,,Sharice Davids,1980-05-22,F,rep,KS,Democrat
Trahan,Lori,,,Lori Trahan,1973-10-27,F,rep,MA,Democrat
Pressley,Ayanna,,,Ayanna Pressley,1974-02-03,F,rep,MA,Democrat
Trone,David,J.,,David J. Trone,1955-09-21,M,rep,MD,Democrat
Slotkin,Elissa,,,Elissa Slotkin,1976-07-10,F,rep,MI,Democrat
Levin,Andy,,,Andy Levin,1960-08-01,M,rep,MI,Democrat
Stevens,Haley,M.,,Haley M. Stevens,1983-06-01,F,rep,MI,Democrat
Tlaib,Rashida,,,Rashida Tlaib,1976-07-24,F,rep,MI,Democrat
Hagedorn,Jim,,,Jim Hagedorn,1962-08-04,M,rep,MN,Republican
Craig,Angie,,,Angie Craig,1972-02-14,F,rep,MN,Democrat
Phillips,Dean,,,Dean Phillips,1969-01-20,M,rep,MN,Democrat
Omar,Ilhan,,,Ilhan Omar,1981-10-04,F,rep,MN,Democrat
Stauber,Pete,,,Pete Stauber,1966-05-10,M,rep,MN,Republican
Guest,Michael,,,Michael Guest,1970-02-04,M,rep,MS,Republican
Armstrong,Kelly,,,Kelly Armstrong,1976-10-08,M,rep,ND,Republican
Pappas,Chris,,,Chris Pappas,1980-06-04,M,rep,NH,Democrat
Van Drew,Jefferson,,,Jefferson Van Drew,1953-02-23,M,rep,NJ,Democrat
Kim,Andy,,,Andy Kim,1982-07-12,M,rep,NJ,Democrat
Malinowski,Tom,,,Tom Malinowski,1965-09-23,M,rep,NJ,Democrat
Sherrill,Mikie,,,Mikie Sherrill,1972-01-19,F,rep,NJ,Democrat
Haaland,Debra,A.,,Debra A. Haaland,1960-12-02,F,rep,NM,Democrat
Torres Small,Xochitl,,,Xochitl Torres Small,1984-11-15,F,rep,NM,Democrat
Lee,Susie,,,Susie Lee,1966-11-07,F,rep,NV,Democrat
Rose,Max,,,Max Rose,1986-11-28,M,rep,NY,Democrat
Ocasio-Cortez,Alexandria,,,Alexandria Ocasio-Cortez,1989-10-13,F,rep,NY,Democrat
Delgado,Antonio,,,Antonio Delgado,1977-01-19,M,rep,NY,Democrat
Brindisi,Anthony,,,Anthony Brindisi,1978-11-22,M,rep,NY,Democrat
Gonzalez,Anthony,,,Anthony Gonzalez,1984-09-19,M,rep,OH,Republican
Horn,Kendra,S.,,Kendra S. Horn,1976-06-09,F,rep,OK,Democrat
Dean,Madeleine,,,Madeleine Dean,1959-06-06,F,rep,PA,Democrat
Houlahan,Chrissy,,,Chrissy Houlahan,1967-06-05,F,rep,PA,Democrat
Meuser,Daniel,,,Daniel Meuser,1964-02-10,M,rep,PA,Republican
Joyce,John,,,John Joyce,1957-02-08,M,rep,PA,Republican
Reschenthaler,Guy,,,Guy Reschenthaler,1983-04-17,M,rep,PA,Republican
Cunningham,Joe,,,Joe Cunningham,1982-05-26,M,rep,SC,Democrat
Timmons,William,R.,,William R. Timmons IV,1984-04-30,M,rep,SC,Republican
Johnson,Dusty,,,Dusty Johnson,1976-09-30,M,rep,SD,Republican
Burchett,Tim,,,Tim Burchett,1964-08-25,M,rep,TN,Republican
Rose,John,W.,,John W. Rose,1965-02-23,M,rep,TN,Republican
Green,Mark,E.,,Mark E. Green,1964-11-08,M,rep,TN,Republican
Crenshaw,Dan,,,Dan Crenshaw,1984-03-14,M,rep,TX,Republican
Taylor,Van,,,Van Taylor,1972-08-01,M,rep,TX,Republican
Gooden,Lance,,,Lance Gooden,1982-12-01,M,rep,TX,Republican
Wright,Ron,,,Ron Wright,1953-04-08,M,rep,TX,Republican
Fletcher,Lizzie,,,Lizzie Fletcher,1975-02-13,F,rep,TX,Democrat
Escobar,Veronica,,,Veronica Escobar,1969-09-15,F,rep,TX,Democrat
Roy,Chip,,,Chip Roy,1972-08-07,M,rep,TX,Republican
Garcia,Sylvia,R.,,Sylvia R. Garcia,1950-09-06,F,rep,TX,Democrat
Allred,Colin,Z.,,Colin Z. Allred,1983-04-15,M,rep,TX,Democrat
McAdams,Ben,,,Ben McAdams,1974-12-05,M,rep,UT,Democrat
Luria,Elaine,G.,,Elaine G. Luria,1975-08-15,F,rep,VA,Democrat
Riggleman,Denver,,,Denver Riggleman,1970-03-01,M,rep,VA,Republican
Cline,Ben,,,Ben Cline,1972-02-29,M,rep,VA,Republican
Spanberger,Abigail,Davis,,Abigail Davis Spanberger,1979-08-07,F,rep,VA,Democrat
Wexton,Jennifer,,,Jennifer Wexton,1968-05-27,F,rep,VA,Democrat
Schrier,Kim,,,Kim Schrier,1968-08-23,F,rep,WA,Democrat
Steil,Bryan,,,Bryan Steil,1981-03-30,M,rep,WI,Republican
Miller,Carol,D.,,Carol D. Miller,1950-11-04,F,rep,WV,Republican
Scott,Rick,,,Rick Scott,1952-12-01,M,sen,FL,Republican
Braun,Mike,,,Mike Braun,1954-03-24,M,sen,IN,Republican
Hawley,Joshua,,,Josh Hawley,1979-12-31,M,sen,MO,Republican
Romney,Mitt,,,Mitt Romney,1947-03-12,M,sen,UT,Republican
McSally,Martha,,,Martha McSally,1966-03-22,F,sen,AZ,Republican
Golden,Jared,Forrest,,Jared F. Golden,1982-07-25,M,rep,ME,Democrat
